"","Ctrl_F1","Ctrl_F2","Ctrl_F3","Ctrl_F4","Ctrl_F5","Ctrl_F6","Ctrl_F7","Ctrl_M1","Ctrl_M2","Ctrl_M3","Ctrl_M4","Ctrl_M5","AIS_F1","AIS_F2","AIS_F3","AIS_F4","AIS_F5","AIS_F6","AIS_M1","AIS_M2","AIS_M3","AIS_M4","AIS_M5","AIS_M6","AIS_M7","AIS_M8","AIS_M9","AIS_M10"
"MI0006656",0.674928640461322,0.489040297194937,0.735860125631856,0.639518339420301,0.353896413457069,0.337691249362786,0.372195357094002,0.399074502203288,0.468885499954641,0.372160273262753,0.375956714232474,0.910309330304818,17.6229454645097,0.353055647839926,0.380715655774617,0.350805167852086,0.553380859393686,0.973876102777185,0.365963339919183,0.960632408848079,0.345503364300211,0.371788857980034,0.707408687644869,0.380693345075313,0.359247254444494,0.354498937678143,0.343529818626059,0.732556709485318
"MI0025242",0.424639376754128,7.58847443224642,0.514240772592189,0.21607338437801,0.523033207592471,0.28727521698653,0.241056262235619,1.20552862126928,0.945976896758743,3.82234146819831,0.245881433576252,0.245596029282836,0.846781739390479,0.215971617964294,0.251941440218192,0.212958343928215,0.290798782872685,0.253121260222201,0.232990667364063,0.810037067167588,6.05249276186087,0.72575047408441,0.413340720266164,0.251913144884092,0.224192222270365,1.33367725193933,0.524872715319026,0.602370753098135
"MIMAT0000703",0.533431476976659,1.2188899179708,0.560490358515687,0.647903097186424,0.472555787481556,0.51507842134507,0.482417124609835,0.863193690217194,0.9279271240176,0.482398240315433,1.02886387595819,3.095687651406,3.21585544267471,0.647303190604372,0.487001906906967,0.470886643487388,1.66616049303712,0.845150889198056,0.479062019685871,0.486829305994511,0.585300629466118,0.989952809228227,2.02460765619509,0.486989905196764,0.85970038393645,0.472881045636071,0.733548567901966,0.873048680804896
"MIMAT0002870",0.792465974468787,1.39949070116307,1.83790930621313,0.573308264697289,0.910161583024402,1.08280135242539,0.610478978332266,2.28026951841185,14.3553452272364,1.13606934580777,0.617602097750212,1.51481457002822,4.05432143456131,0.898281019479363,1.58276745166488,1.25786371618086,2.2397611332498,0.62825820599046,2.38042641341667,2.70093720017599,1.10543847783682,0.609705307622837,1.35008451262585,0.626482596765255,0.585443464014531,0.918578249541382,0.750756473174477,0.587779225127501
"MI0018168",0.365025945755077,0.284259142456846,1.65782250704786,0.464415382502535,2.55423612544859,0.30744121350652,0.267635739503093,0.275231517985397,0.282057457469126,0.62697604714176,0.26993688829399,2.81520669780243,7.01759689490998,0.255909962913111,1.38234644540881,0.442496285966017,0.292050564738696,0.273416945990965,0.263821943273754,0.272651377268648,0.390443497119284,0.267387017299952,0.251440273263784,0.272833951343575,0.25970859174772,0.65040951808354,0.250058758127672,0.260437552292322
"MI0001721",-0.262573568613948,-0.615583455118214,4.56285771542992,-0.861581296168064,-0.857671884809789,-0.952076567800816,-0.765229722934936,8.59623475265388,-0.65385827408369,0.578603484446807,0.172027111148611,-0.746557753914799,-0.83030216796044,-0.861973286384637,-0.72232979603763,-0.290692470052714,4.37682492866436,0.252180740035029,-0.801209566285283,0.235044380360759,-0.430316868411683,-0.7674637043801,-0.422446166849601,-0.722433525112354,-0.831486931051525,-0.205953033413099,-0.914931959393651,-0.825928544840476
"MI0017265",-0.0347080406260036,-0.204738424871707,0.0363426110042041,-0.234216179692875,0.0193600746542346,-0.244192376426381,-0.22206131127965,-0.214225936193409,1.29066671424883,-0.222083531263659,0.770240524252355,-0.219822914034375,0.0768529532878258,-0.234265115651394,-0.216679286212373,-0.235711937659449,-0.17644180970928,-0.216092878845435,6.60684890736916,-0.216881451951977,1.93834300619006,0.47866105347356,-0.238952982684533,-0.216693342577518,-0.230296879737749,-0.233338500131783,-0.240406072769919,-0.229537007487855
"MI0022598",0.497277591895534,0.468498159631497,0.507079990093699,0.461741153110065,0.461850205993054,0.508233788412177,0.829613458958382,0.466300889632159,0.467957972505517,0.46447934480387,0.929788247476711,0.464999519229356,0.665538442932359,0.461730291669315,0.465728088205047,3.02798900520295,0.918385177829577,0.465864665219157,0.600027638012564,0.465681051757089,0.460657817525353,0.621128119871012,0.520157661684518,0.465724817000713,0.462615818794744,0.756345427320019,0.460378943722369,0.462786488948203
"MIMAT0015053",0.26524056521578,0.254614878271827,0.275386009791839,0.24432839684373,0.244494496370136,0.241002320863121,0.248507211064758,0.251274891382042,1.01790836874609,0.248499444834421,0.500734863613129,0.499563637407924,2.33271806251614,0.244311853747225,0.525416722620914,1.43430926621845,0.257541253968003,0.250610163651017,0.605318527659469,0.250330382023771,2.01972022063908,0.248417245792154,0.24273751264692,0.525302291103994,0.245660648161596,0.24462548370818,0.314731210528146,0.672579757515544
"MI0017307",2.49749752154955,1.60778893547791,4.07934037597495,2.69826594816655,1.57951142881921,1.56960557113604,1.59079653835325,1.59852310700063,1.60552091733074,1.83097758675077,1.59313055067674,4.07424589806865,1.58295653734907,1.57899534833172,1.59609125153879,2.47593634275797,3.97887350821731,3.804086575732,1.58694127968813,1.59589136814641,3.37837399228222,2.9473162525155,1.57453777870967,1.59607735134516,1.58280147576098,4.39409125696393,3.12129682227178,4.01104050158654
